Região,Ano,Faixa_Etaria,Obitos
Nordeste,2009,40 a 49 anos,121
Nordeste,2010,40 a 49 anos,139
Nordeste,2011,40 a 49 anos,128
Nordeste,2012,40 a 49 anos,112
Nordeste,2013,40 a 49 anos,119
Nordeste,2014,40 a 49 anos,115
Nordeste,2015,40 a 49 anos,116
Nordeste,2016,40 a 49 anos,119
Nordeste,2017,40 a 49 anos,138
Nordeste,2018,40 a 49 anos,127
Nordeste,2019,40 a 49 anos,148
Nordeste,2020,40 a 49 anos,127
Nordeste,2021,40 a 49 anos,142
Nordeste,2022,40 a 49 anos,126
Sudeste,1996,40 a 49 anos,208
Sudeste,1997,40 a 49 anos,213
Sudeste,1998,40 a 49 anos,207
Sudeste,1999,40 a 49 anos,210
Sudeste,2000,40 a 49 anos,240
Sudeste,2001,40 a 49 anos,261
Sudeste,2002,40 a 49 anos,219
Sudeste,2003,40 a 49 anos,226
Sudeste,2004,40 a 49 anos,232
Sudeste,2005,40 a 49 anos,257
Sudeste,2006,40 a 49 anos,247
Sudeste,2007,40 a 49 anos,230
Sudeste,2008,40 a 49 anos,272
Sudeste,2009,40 a 49 anos,231
Sudeste,2010,40 a 49 anos,241
Sudeste,2011,40 a 49 anos,222
